ABBR,layer,head,patched_logit_difference,indirect_effect,normalized_restoration,count
AAA,0,0,5.757568359375,-0.03125,-0.022263008575449803,4
AAA,0,1,5.7470703125,-0.041748046875,-0.10653098018766835,4
AAA,0,2,5.794189453125,0.00537109375,0.059069592162239566,4
AAA,0,3,5.77978515625,-0.009033203125,0.008677026699450106,4
AAA,0,4,5.79150390625,0.002685546875,0.030533821760749126,4
AAA,0,5,5.7998046875,0.010986328125,0.03764775896805351,4
AAA,0,6,5.7744140625,-0.014404296875,-0.005589124070048201,4
AAA,0,7,5.8251953125,0.036376953125,0.06616125670893097,4
AAA,0,8,5.771728515625,-0.01708984375,-0.01713697868195877,4
AAA,0,9,5.77001953125,-0.018798828125,-0.019569792417728115,4
AAA,0,10,5.79150390625,0.002685546875,0.05080623455058985,4
AAA,0,11,5.794189453125,0.00537109375,0.038856503536275844,4
AAA,0,12,5.78466796875,-0.004150390625,0.0016369682009499233,4
AAA,0,13,5.770751953125,-0.01806640625,-0.018563512205496575,4
AAA,0,14,5.770751953125,-0.01806640625,-0.04401760346419875,4
AAA,0,15,5.78515625,-0.003662109375,0.01067551218333554,4
AAA,0,16,5.77783203125,-0.010986328125,0.0021672938113715193,4
AAA,0,17,5.775390625,-0.013427734375,-0.05395947500357946,4
AAA,0,18,5.7353515625,-0.053466796875,-0.19257949431757737,4
AAA,0,19,5.78271484375,-0.006103515625,0.011702189017614419,4
AAA,0,20,5.795166015625,0.00634765625,0.008558984078913437,4
AAA,0,21,5.782470703125,-0.00634765625,-0.005565458076109326,4
AAA,0,22,5.798095703125,0.00927734375,0.026997652378054078,4
AAA,0,23,5.781494140625,-0.00732421875,0.009202913902378103,4
AAA,1,0,5.781005859375,-0.0078125,-0.0010831481791800206,4
AAA,1,1,5.778076171875,-0.0107421875,-0.00795769563009737,4
AAA,1,2,5.781982421875,-0.0068359375,0.016170423973966085,4
AAA,1,3,5.766357421875,-0.0224609375,-0.027319272574160162,4
AAA,1,4,5.7900390625,0.001220703125,0.019937396748108863,4
AAA,1,5,5.7880859375,-0.000732421875,0.005802393994725097,4
AAA,1,6,5.7685546875,-0.020263671875,-0.039209280443392565,4
AAA,1,7,5.787109375,-0.001708984375,0.010153709886419358,4
AAA,1,8,5.796142578125,0.00732421875,0.036468567950612985,4
AAA,1,9,5.78564453125,-0.003173828125,0.02405856043529552,4
AAA,1,10,5.7783203125,-0.010498046875,-0.062427225724918864,4
AAA,1,11,5.77783203125,-0.010986328125,-0.00031670218426291946,4
AAA,1,12,5.78759765625,-0.001220703125,0.002596151059328174,4
AAA,1,13,5.778564453125,-0.01025390625,-0.004701303031269009,4
AAA,1,14,5.79052734375,0.001708984375,0.027277646224234134,4
AAA,1,15,5.7890625,0.000244140625,0.016504207928661998,4
AAA,1,16,5.786865234375,-0.001953125,0.013708228270005507,4
AAA,1,17,5.77685546875,-0.011962890625,-0.027929147387915534,4
AAA,1,18,5.77734375,-0.011474609375,0.024114814717883275,4
AAA,1,19,5.802001953125,0.01318359375,0.061647999927893965,4
AAA,1,20,5.753662109375,-0.03515625,-0.12347586595769566,4
AAA,1,21,5.810546875,0.021728515625,0.03987645970788044,4
AAA,1,22,5.796875,0.008056640625,0.011698737726831665,4
AAA,1,23,5.78515625,-0.003662109375,0.024593188014042314,4
AAA,2,0,5.77880859375,-0.010009765625,0.0070139738102122035,4
AAA,2,1,5.78076171875,-0.008056640625,-0.030304656672952377,4
AAA,2,2,5.798828125,0.010009765625,0.03447392240241426,4
AAA,2,3,5.776611328125,-0.01220703125,-0.00849295682407323,4
AAA,2,4,5.78076171875,-0.008056640625,-0.004084689983128265,4
AAA,2,5,5.794677734375,0.005859375,0.02584557864533519,4
AAA,2,6,5.799560546875,0.0107421875,0.0782088786920594,4
AAA,2,7,5.7998046875,0.010986328125,0.07473408109439758,4
AAA,2,8,5.809814453125,0.02099609375,0.08796481465379821,4
AAA,2,9,5.791259765625,0.00244140625,0.03504937113326746,4
AAA,2,10,5.782470703125,-0.00634765625,6.624431715358814e-05,4
AAA,2,11,5.79296875,0.004150390625,0.04135048956647612,4
AAA,2,12,5.80908203125,0.020263671875,0.10953549367804978,4
AAA,2,13,5.77783203125,-0.010986328125,-0.009109769362816267,4
AAA,2,14,5.788818359375,0.0,0.0195022353903936,4
AAA,2,15,5.786376953125,-0.00244140625,0.011370025794858421,4
AAA,2,16,5.773681640625,-0.01513671875,-0.02524755956841066,4
AAA,2,17,5.78173828125,-0.007080078125,-0.0026581564595904647,4
AAA,2,18,5.781494140625,-0.00732421875,0.012693606663159765,4
AAA,2,19,5.778564453125,-0.01025390625,0.008757563019494714,4
AAA,2,20,5.792724609375,0.00390625,0.026998902036801116,4
AAA,2,21,5.801025390625,0.01220703125,0.04823111372853807,4
AAA,2,22,5.7919921875,0.003173828125,0.02615859490479089,4
AAA,2,23,5.79248046875,0.003662109375,0.027730921948816045,4
AAA,3,0,5.77294921875,-0.015869140625,-0.023358176838640797,4
AAA,3,1,5.786865234375,-0.001953125,0.015744066043503507,4
AAA,3,2,5.787109375,-0.001708984375,0.003117120250413008,4
AAA,3,3,5.76416015625,-0.024658203125,-0.07017843514444752,4
AAA,3,4,5.7822265625,-0.006591796875,0.006029910442570209,4
AAA,3,5,5.7666015625,-0.022216796875,-0.05648711706228444,4
AAA,3,6,5.781494140625,-0.00732421875,0.017423213586463544,4
AAA,3,7,5.76708984375,-0.021728515625,-0.06153709452294727,4
AAA,3,8,5.78271484375,-0.006103515625,0.016790876957793542,4
AAA,3,9,5.784912109375,-0.00390625,0.00961438135814277,4
AAA,3,10,5.791259765625,0.00244140625,0.014311798974002258,4
AAA,3,11,5.79345703125,0.004638671875,0.014007785632401541,4
AAA,3,12,5.793701171875,0.0048828125,0.037211764504506896,4
AAA,3,13,5.787353515625,-0.00146484375,-0.00997594412080109,4
AAA,3,14,5.78515625,-0.003662109375,0.010474913529609758,4
AAA,3,15,5.794677734375,0.005859375,0.021681819063222727,4
AAA,3,16,5.7958984375,0.007080078125,0.05252296901718691,4
AAA,3,17,5.772216796875,-0.0166015625,-0.02085766963636853,4
AAA,3,18,5.7841796875,-0.004638671875,0.0010013622003883713,4
AAA,3,19,5.789794921875,0.0009765625,-0.003300637133705796,4
AAA,3,20,5.7822265625,-0.006591796875,0.011893259669412855,4
AAA,3,21,5.7646484375,-0.024169921875,-0.06503064010270479,4
AAA,3,22,5.781494140625,-0.00732421875,0.015550342063331508,4
AAA,3,23,5.7822265625,-0.006591796875,-0.00042025331130626136,4
AAA,4,0,5.789794921875,0.0009765625,-0.0065752071508346985,4
AAA,4,1,5.7880859375,-0.000732421875,0.02756820066877519,4
AAA,4,2,5.7841796875,-0.004638671875,0.003008017496297432,4
AAA,4,3,5.776123046875,-0.0126953125,-0.031191690085623017,4
